مرغ قرمه‌سبزی واسه هفته اشپزی	train	lifestyle
اغاز ثبت ‌نام کنکور دکتری سال اذر ثبت‌نام ازمون ورودی مقطع دکتری نیمه‌متمرکز سال دوشنبه اذرماه اغاز ازمون جمعه اسفندماه برگزار خواهد_شد	train	education
میدانید طبق ماده قانون هدفمندی یارانه‌ها مصوب قیمت بنزین ایران نسبتی فوب خلیج‌فارس اینصورت حاشیه سود قاچاق لیتر تومن میرسه واسه فضا جون واسه دروغه بنزین تومنی	train	economics
درنگی کتاب کتابخوانی کتابخانه‌های عمومی کشور کتاب کتابخانه_عمومی	train	art
شرایطی تهران نظر کرونا قرمز جشنواره_فیلم_فجر جمعیت وضعیتی برگزار وقت نرسیده ستاد پیشگیری مقابله کرونا فکری جشنواره فیلم فجر جان عزیز خبرنگارها عکاس‌ها	train	health
ره نبردیم مقصود اندر شیراز خرم حافظ ره بغداد	train	art
بی‌تو فراخای جهان تنگ فخرست ننگ صلحیم جنگ اخر بنگویی دلست سنگ سعدی	train	art
دزدیده تجهیزات پارک اهواز شهروند خبرنگار دزدیده وسایل پلاستیکی میله‌های اهنی پارکی اهواز گزارش می‌دهد اهواز اذر ناامنی_اجتماعی فقر	train	social
تیم_حکومتی خطایی محوطه جریمه مرتکب شکست گریخت	train	sport
هلمند جوان دلیل بیکاری حلق‌اویز دید منابع محلی ولایت هلمند تایید جوان شهر لشکرگاه مرکز ولایت حلق‌اویز کرده_است افغانستان بیکاری حلق_اویز خودکشی هلمند	train	social
کاهش سطح اب دریاچه ارومیه موجب اتصال جزایر دریاچه خشکی تهدید جدی حیات وحش جزایر خصوص گوزن زرد ایجاد شده_است چراکه شکل ورود سودجو گونه‌های گوشتخوار فراهم احتمال خروجحیات وحشاز جزایر مهر محیط_زیست حیات_وحش	train	ecology
سنگاپور دستگاه خودپرداز کریپتو ممنوع کرده_است	train	tech
حواستون انتقاد پوشش سلبریتیا جشنواره مسخرشون کردین جشنواره_فیلم_فجر	train	art
راننده برخورد ومودب اسنپ موقع پیاده شدنم ازماشین خانوم ضمنا روزتون مبارک	train	transport
جهانی قهوه مبارک قهوه اسپرسو ایس_لاته کن_پانا کورتادو رومانو موکا کارامل اسپرسو_ماکیاتو کاپوچینو فلت_وایت ایریش_کافی افوگاتو	train	lifestyle
دانلود فیلم فیلم فیلم محصول کشور انگلستان ژانر ترسناک درام می‌باشد کارگردانی سال دانلود_فیلم فیلم فیلم_جدید	train	art
کووید برو مهمونی قشنگ زندگی مخصوصا دوستام غذا کشیدم ببرن فرداش دغدغه اشپزی باشن	train	lifestyle
پسره سمپاد درس میخونه میگه دوز نمیزنم واکسن اومیکرون کرونا اموزش_و_پرورش	train	health
بیژن_ذوالفقارنسب یازده ان‌که وزیر ورزش جوانان سمت رییس هیات مدیره باشگاه پرسپولیس منصوب استعفا رسانه‌های ایران استعفای بیژن ذوالفقارنسب سمت ریاست هیات مدیره باشگاه پرسپولیس خبر اخبار_ایران استعفا	train	sport
اوقات بانک زدم بعدش اسنپ راننده‌ها جوری رانندگی میکنن احساس نفر تعقیبمون میکنه	train	transport
اتوبان ترافیک موندم فرار ترافیک	train	transport
مهرداد ویس کرمی اعضای کمیسیون اموزش مجلس شورای اسلامی بیان تحصیل زنان مانع بچه ویس کرمی نماینده خرم‌اباد عضو کمیسیون اموزش مجلس اظهار موضوع طرح حمایت جوانان قانون مصوب مجلس تضاد	train	social
خامنه حکم جهادم اللهم_عجل_لولیک_الفرج همراه_یمنیم	train	religion
عشق داغی‌ست مرگ نیاید نرود سعدی	train	art
صبوحی زده_ام خرقه حرام مجلسیان خرابات سعدی	train	art
مرکز امار ایران ازدواج دختران چهارده ساله بهار درصد افزایش ازدواج بهار ایران	train	social
پاستای منو نخوردین ینی نتونستین پاستای منو بخورین پاستا الفردو اشپزی	train	lifestyle
تاریخچه اپل داستان استیو جابز شرکتی تاسیس عظیم جامع تاریخچه اپل ریشه دهه خروج جابز بازگشت اپل برد داستان اپل دنبال	train	tech
انتقام دهمین پدربزرگ سال پدربزرگ مرد کشته_بود پذیرید عدالتی خواهید_؟ ظالم پشتت افتاده اللهم_عجل_لولیک_الفرج	train	religion
اقای شوماخر اسنپ سفرم صلیب کشیدن چطوریه	train	transport
سیل گیلان جان هموطن ویدیو گیلان رشت سیلاب	train	ecology
یکساله فریاد میزنم سرمایه بورس خارج گوش شنوا بینم میاید ناله	train	economics
بزرگواری اعتماد نفس اخبار ظرفیت دانشجوی پزشکی نفر اضافه سال !! نفهمیدم مفهوم نمی‌دانند دانشجو پزشکی مرگ شیون بهتری تفکر	train	education
واکسن ندادند فشار قرار برجام قبول دکتر_عین‌_اللهی وزیر بهداشت فشار قرار کارها برجام اف‌ای‌تی‌اف قبول	train	health
قهوه فیو_استار غذای سوخته بیارم	train	lifestyle
حساب کریپتو ساعت لیکویید دلار ارزش ارزدیجیتال رمزارز بیتکوین	train	tech
چین بشکه نفت ایران خریده صادرات نفت ایران برجام بشکه بوده_است اقای شمخانی دبیر شورای عالی امنیت ملی توییت زده فروش نفت ایران شرایط مناسب غیرقابل بازگشت	train	economics
